FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
229866.303	230186.338	323.283	514.063	292.987	0.000	0.010	0.999	0.503	0.571	0.939	2.252	Infant100	data
230206.270	230956.196	753.285	455.873	248.370	0.000	0.000	0.999	0.526	0.641	2.036	2.201	Infant100	data
231556.067	231802.759	249.938	1518.392	871.265	0.000	0.000	0.999	0.432	0.457	1.281	2.292	Infant100	data
231846.091	232082.706	239.976	1040.964	505.419	0.000	0.000	0.999	1.141	2.115	1.928	5.651	Infant100	data
232106.001	232692.543	589.908	963.238	476.838	0.000	0.073	0.999	0.825	2.127	2.997	4.975	Infant100	data
236118.769	236852.004	736.598	930.318	395.533	0.000	0.140	0.999	1.110	4.990	4.343	5.534	Infant100	data
237755.232	237818.500	66.625	1709.185	346.253	0.000	0.000	0.999	0.988	0.894	0.727	2.493	Infant100	data
237841.819	238458.460	619.895	1474.087	389.580	0.000	0.011	0.999	0.752	1.488	2.387	3.487	Infant100	data
238541.770	238798.340	259.901	281.885	241.914	0.000	0.000	0.999	0.434	0.891	1.550	1.602	Infant100	data
238821.721	239398.313	579.856	379.911	240.843	0.000	0.000	0.999	0.609	1.074	2.125	2.938	Infant100	data
239441.638	239668.286	229.974	386.934	235.418	0.000	0.000	0.999	0.334	0.216	0.915	0.792	Infant100	data
239714.880	240058.195	346.674	1099.613	348.400	0.000	0.019	0.999	1.056	2.289	2.261	2.854	Infant100	data
240081.501	240384.835	306.610	978.958	401.613	0.000	0.000	0.999	0.946	1.747	2.740	2.527	Infant100	data
240438.140	240944.746	509.955	1504.102	913.657	0.000	0.000	0.999	0.598	0.885	1.784	2.845	Infant100	data
240988.069	241404.629	419.920	1497.467	903.030	0.000	0.000	0.999	0.385	0.338	0.855	1.675	Infant100	data
241451.325	241934.629	486.570	1522.265	282.773	0.000	0.007	0.999	0.462	0.582	1.577	2.191	Infant100	data
241957.922	242877.724	923.171	1492.619	213.480	0.000	0.043	0.999	0.538	0.931	2.372	2.837	Infant100	data
242917.804	243034.387	119.927	1691.672	759.170	0.000	0.000	0.999	0.360	1.077	2.190	3.375	Infant100	data
245570.719	245680.675	113.323	1303.975	611.386	1.000	0.029	0.999	2.204	4.869	1.571	6.232	Infant100	data
245687.402	245790.667	106.620	1303.021	391.100	1.000	0.188	0.999	2.840	6.159	1.780	6.930	Infant100	data
245850.662	246067.351	219.976	1144.121	392.658	0.000	0.000	0.999	0.985	3.257	3.158	3.494	Infant100	data
246107.329	246393.997	289.910	454.641	173.769	0.000	0.000	0.999	0.415	0.748	2.051	1.797	Infant100	data
246417.279	247023.872	609.960	372.441	242.323	0.000	0.000	0.999	0.376	0.352	1.361	1.191	Infant100	data
253749.589	253892.917	146.594	345.681	1129.429	1.000	0.000	0.999	0.640	0.937	1.350	2.514	Infant100	data
253929.538	254159.540	233.272	627.839	705.498	0.000	0.057	0.999	1.351	3.690	3.272	4.575	Infant100	data
254179.477	254552.813	376.601	759.650	527.624	0.000	0.000	0.999	0.896	1.533	2.135	3.071	Infant100	data
254592.790	255122.673	533.241	295.095	861.577	0.000	0.000	0.999	1.067	1.893	1.847	4.428	Infant100	data
255166.008	255525.940	363.271	754.788	412.951	0.000	0.000	0.999	0.677	0.711	1.402	2.151	Infant100	data
255549.311	255855.914	309.957	834.627	421.717	0.000	0.032	0.999	0.846	1.232	1.635	3.451	Infant100	data
255892.531	256079.198	190.024	1301.083	610.639	0.000	0.053	0.999	1.708	4.408	1.903	5.455	Infant100	data
256105.864	258502.195	2399.689	1418.716	815.720	1.000	0.285	0.999	1.953	7.876	5.214	8.779	Infant100	data
258662.215	258785.503	126.555	1434.644	847.614	1.000	0.237	0.999	1.604	3.812	2.549	3.430	Infant100	data
258812.154	259245.391	436.608	1017.261	473.200	1.000	0.076	0.999	1.159	3.925	2.744	6.104	Infant100	data
259268.722	259988.623	723.248	896.321	449.355	1.000	0.032	0.999	0.834	1.486	2.153	3.996	Infant100	data
260265.309	260735.182	473.223	895.248	441.292	1.000	0.000	0.999	0.706	0.953	2.123	3.541	Infant100	data
260771.897	260965.180	196.639	447.661	757.573	0.000	0.000	0.999	0.790	1.160	1.129	4.647	Infant100	data
260995.187	262411.617	1419.788	370.754	869.569	0.000	0.000	0.999	0.681	1.028	1.853	3.786	Infant100	data
262441.625	263151.564	713.210	370.431	900.481	0.000	0.000	0.999	0.622	0.733	1.356	3.746	Infant100	data
263204.866	264674.612	1473.083	815.540	445.306	0.000	0.029	0.999	0.917	1.839	3.126	4.552	Infant100	data
264727.928	265284.549	559.981	364.891	252.091	0.000	0.042	0.999	0.484	0.583	1.957	2.208	Infant100	data
265344.570	265567.857	226.644	1365.010	647.676	0.000	0.147	0.999	1.745	14.443	6.300	7.691	Infant100	data
265587.784	266214.432	629.996	1412.215	807.225	0.000	0.275	0.999	1.626	4.208	3.017	8.047	Infant100	data
266221.038	267044.285	826.617	1421.138	856.292	0.000	0.004	0.999	0.950	2.084	4.678	5.467	Infant100	data
267090.916	267334.217	246.653	965.409	421.680	0.000	0.000	0.999	0.329	0.367	1.372	1.495	Infant100	data
267360.866	268097.451	739.952	915.860	483.781	0.000	0.000	0.999	0.745	0.885	1.612	4.354	Infant100	data
268120.780	268420.745	303.324	846.080	468.871	0.000	0.000	0.999	0.695	0.583	1.076	2.681	Infant100	data
268597.355	268707.411	113.298	466.143	235.612	0.000	0.000	0.999	0.486	0.955	1.164	2.004	Infant100	data
268730.700	269160.587	433.237	279.340	212.176	0.000	0.000	0.999	0.406	0.604	1.915	1.706	Infant100	data
269220.608	269307.284	90.032	1405.736	662.186	1.000	0.185	0.999	2.613	30.998	7.398	8.656	Infant100	data
269427.245	269513.961	89.974	1625.086	821.247	1.000	0.037	0.999	0.659	1.056	1.309	1.677	Infant100	data
269533.898	269920.549	390.015	1409.059	792.631	0.000	0.103	0.999	1.575	5.919	4.031	7.295	Infant100	data
269937.240	270250.529	316.564	1500.507	865.851	0.000	0.032	0.999	1.205	3.347	4.029	4.967	Infant100	data
270270.498	271170.351	903.211	1454.356	864.728	0.000	0.144	0.999	0.988	2.270	3.126	5.151	Infant100	data
271210.329	271533.613	326.645	938.718	442.100	1.000	0.061	0.999	1.224	3.202	4.744	4.503	Infant100	data
271680.304	272020.270	343.227	948.530	458.157	1.000	0.010	0.999	0.705	0.973	2.297	3.025	Infant100	data
274179.896	274219.885	43.345	2354.888	1329.136	1.000	0.077	0.999	6.633	102.644	29.235	7.605	Infant100	data
274243.283	274379.898	139.974	2682.563	1313.320	1.000	0.048	0.999	8.113	36.835	33.326	5.032	Infant100	data
274396.585	274793.125	399.896	2692.933	1319.926	1.000	0.075	0.999	3.821	19.006	14.111	6.824	Infant100	data
274816.509	274939.794	126.647	2478.933	1334.464	1.000	0.132	0.999	9.088	52.463	36.080	6.062	Infant100	data
276272.909	276659.571	390.025	983.176	1290.197	0.000	0.017	0.999	0.782	1.069	1.857	3.958	Infant100	data
276689.583	277386.115	699.874	996.085	1121.773	0.000	0.005	0.999	0.407	0.466	1.471	1.875	Infant100	data
277429.434	277479.446	53.372	969.176	1370.668	1.000	0.500	0.999	1.659	2.924	2.319	1.971	Infant100	data
277502.741	278166.002	666.608	1004.387	1200.385	1.000	0.000	0.999	0.998	1.711	9.575	3.437	Infant100	data
278192.643	278375.946	186.664	1016.302	1046.079	0.000	0.000	0.999	0.379	0.357	0.890	1.794	Infant100	data
