FixStart	FixEnd	FixDur	XPos	YPos	FlankedByDataLoss	Fraction Interpolated	WeightCutoff	RMSxy	BCEA	FixRangeX	FixRangeY	Participant	Trial
283434.544	284227.686	796.496	1519.767	261.334	0.000	0.000	1.042	0.328	0.193	1.016	1.096	Adult115	data
284284.353	284471.009	190.023	936.142	475.908	0.000	0.000	1.042	0.391	0.336	0.973	1.110	Adult115	data
284494.329	285387.547	896.583	977.644	493.902	0.000	0.000	1.042	0.393	0.330	1.382	1.316	Adult115	data
285440.861	286387.409	949.907	414.364	862.317	0.000	0.000	1.042	0.363	0.423	0.998	2.358	Adult115	data
286440.712	287370.575	933.210	958.783	501.889	0.000	0.000	1.042	0.338	0.280	1.437	1.194	Adult115	data
287427.236	288320.484	896.492	1528.848	252.748	0.000	0.000	1.042	0.279	0.243	1.256	0.992	Adult115	data
288390.467	288677.047	289.917	936.633	488.082	0.000	0.000	1.042	0.361	0.321	0.974	1.252	Adult115	data
288700.431	289356.954	659.884	970.433	484.026	0.000	0.000	1.042	0.379	0.348	1.054	1.612	Adult115	data
289410.269	289743.617	336.606	425.795	286.032	0.000	0.000	1.042	0.254	0.146	0.773	0.768	Adult115	data
289766.896	290316.831	553.292	405.192	258.631	0.000	0.000	1.042	0.285	0.156	0.909	0.771	Adult115	data
290373.478	290540.117	169.994	915.921	474.535	0.000	0.000	1.042	0.414	0.410	1.110	1.232	Adult115	data
290560.157	291423.275	866.486	969.512	494.574	0.000	0.000	1.042	0.374	0.299	1.124	1.557	Adult115	data
291476.607	292386.505	913.191	412.525	864.456	0.000	0.000	1.042	0.386	0.607	1.633	3.026	Adult115	data
292436.474	293379.666	946.530	963.865	511.772	0.000	0.000	1.042	0.341	0.232	0.985	1.234	Adult115	data
293443.025	293769.661	329.902	1491.410	329.292	0.000	0.000	1.042	0.256	0.351	1.254	1.037	Adult115	data
293799.565	294269.525	473.331	1543.879	229.189	0.000	0.000	1.042	0.253	0.142	0.630	0.811	Adult115	data
294349.499	294662.798	316.665	926.479	507.133	0.000	0.000	1.042	0.339	0.279	0.936	1.359	Adult115	data
294686.092	295419.395	736.567	960.704	501.819	0.000	0.000	1.042	0.308	0.185	0.809	0.814	Adult115	data
295506.067	296309.192	806.472	424.989	857.578	0.000	0.000	1.042	0.280	0.254	1.151	1.752	Adult115	data
296365.827	297399.041	1036.581	966.268	501.661	0.000	0.000	1.042	0.320	0.274	0.981	1.132	Adult115	data
